序号,协议名,协议号,模块,功能组,组顺序,组权重,单百分比,描述
62,FriendApplyRequest_30000005,0x30000005,好友,3300,6,,,"申请成为对方好友,支持批量"
63,FriendBlackListRequest_30000051,0x30000051,好友,3300,3,,,请求黑名单列表
64,FriendBlackRequest_30000010,0x30000010,好友,3300,,,,将好友加入到黑名单
65,FriendDeleteRequest_30000009,0x30000009,好友,3300,,,,"删除好友,从黑名单里移除也用这个协议"
66,FriendGiftReceiveRequest_30000014,0x30000014,好友,3300,,,,领取好友赠送的友情点，包含一键领取，注意人数不要领多了，超过每日次数限制。
67,FriendGiftRequest_30000012,0x30000012,好友,3300,,,,赠送好友友情点，注意人数不要发多了，超过每日次数限制。
68,FriendListRequest_30000001,0x30000001,好友,3300,2,,,请求好友列表
69,FriendRecommendRequest_30000003,0x30000003,好友,3300,1,,,搜索符合条件的推荐好友
"",,,,,,,,
73,HeroConflateRequest_16000003,0x16000003,英雄,3350,,1,,"英雄合成,也就是升星，突破。当前品质下可以升星，星级升满之后进行突破，改变品质。"
76,HeroIllustrationsListRequest_16000040,0x16000040,英雄,3400,,1,,查看图鉴数据
77,HeroIllustrationsRewardRequest_16000042,0x16000042,英雄,3400,,,,一键领取英雄的图鉴奖励
82,HeroUpLevelRequest_16000001,0x16000001,英雄,3420,,1,,英雄升级
83,ItemUseRequest_0b000003,0x0b000003,道具,3450,,,,使用道具，暂时没用到
"",,,,,,,,
84,MailDeleteRequest_12000007,0x12000007,邮件,3500,4,1,,删除邮件
85,MailListRequest_12000001,0x12000001,邮件,3500,1,,,请求邮件列表。
86,MailReceiveRequest_12000005,0x12000005,邮件,3500,3,,,领取邮件奖励
87,MailSeeRequest_12000003,0x12000003,邮件,3500,2,,,查看未读邮件
88,MonthCardBuyRequest_15000010,0x15000010,月卡,3550,1,1,,购买月卡
89,MonthCardBuyRewardRequest_15000012,0x15000012,月卡,3550,2,,,领取月卡购买奖励，每个月卡只能领取一次
90,MonthCardDayRewardRequest_15000014,0x15000014,月卡,3550,3,,,领取月卡每日奖励
91,MonthCardDoubleBonusRequest_15000016,0x15000016,月卡,3550,4,,,领取双月卡一次性奖励
103,PlayerGuideRequest_01000060,0x01000060,玩家,4060,,1,,保存新手引导步骤
"",,,,,,,,
104,PlayerGenderRequest_01000017,0x01000017,玩家,4100,,1,,修改性别
105,PlayerHeadFrameRequest_01000015,0x01000015,玩家,4100,,,,修改头像框
106,PlayerHeadRequest_01000013,0x01000013,玩家,4100,,,,修改头像
107,PlayerNameRequest_01000011,0x01000011,玩家,4100,,,,修改名字
108,PlayerImageRequest_01000019,0x01000019,玩家,4100,,,,修改形象
238,PlayerFigureRequest_01000021,0x01000021,玩家,4100,,,,修改形象
"",,,,,,,,
110,PlayerLoginRequest_01000001,0x01000001,玩家,4200,,0,,登陆
111,PlayerLogoutRequest_01000003,0x01000003,玩家,4200,,0,,退出登陆
112,PlayerQuestionnaireRequest_01000300,0x01000300,玩家,4250,1,1,,请求玩家的调查问卷数据
113,PlayerQuestionnaireRewardRequest_01000302,0x01000302,玩家,4250,2,,,领取问卷奖励
114,PlayerReconnecRequest_01000065,0x01000065,玩家,4300,,1,,断线重连，和手机端通用
115,PlayerRedPointRequest_01000075,0x01000075,玩家,4350,,1,,请求红点，判断所有功能红点的状态。
116,PlayerSearchRequest_0100000b,0x0100000b,玩家,4400,,1,,搜索玩家
117,PlayerShowRequest_01000039,0x01000039,玩家,4450,,1,,获取一个玩家的展示数据
"",,,,,,,,
121,QuestListAllRequest_20000051,0x20000051,任务,5000,1,1,,请求所有任务数据，一般在任务功能开启的时候请求一下。
122,QuestListRequest_20000001,0x20000001,任务,5000,2,,,"查看某类任务数据,一般在任务功能开启时，客户端请求一下。"
123,QuestReceiveActivePointRequest_20000008,0x20000008,任务,5000,3,,,领取任务活跃积分奖励
124,QuestReceiveRequest_20000004,0x20000004,任务,5000,4,,,领取任务奖励
"",,,,,,,,
125,RankListRequest_35000001,0x35000001,排行榜,5050,,1,,请求排行榜数据
131,ShopChapterPacksBuyRequest_15000020,0x15000020,商店,5200,,1,,购买章节礼包
132,ShopFundPassBuyRequest_15000030,0x15000030,商店,5200,5,,,购买通行证
133,ShopFundPassRewardRequest_15000032,0x15000032,商店,5200,6,,,领取通行证奖励
134,ShopHeishiRefreshRequest_15000005,0x15000005,商店,5200,,,,手动刷新黑市请求
135,ShopItemBuyRequest_15000003,0x15000003,商店,5200,,,,购买商品
136,ShopItemListRequest_15000001,0x15000001,商店,5200,1,,,查看商店里面的商品列表
137,ShopRechargeRequest_15000022,0x15000022,商店,5200,,,,充值
"",,,,,,,,
162,HeroFragmentComposeRequest_16000050,0x16000050,,5300,,1,,使用英雄碎片合成英雄
"",,,,,,,,
166,BattleChapterRewardRequest_13000222,0x13000222,,5350,,1,,领取关卡章节奖励
172,InviteTaskListRequest_20000041,0x20000041,,5400,1,1,,邀请任务请求
173,RewardInviteTaskRequest_20000043,0x20000043,,5400,2,,,领取邀请任务奖励
175,BattleRogueAdvertiseRequest_13000012,0x13000012,,5450,,1,,战斗中看广告选取肉鸽技能
176,HeroIllustrationsLevelRewardRequest_16000044,0x16000044,,5460,,1,,领取图鉴等级奖励，只能一级一级领
179,HeroSkinRequest_16000060,0x16000060,,5470,,1,,英雄换皮肤
183,WechatSettingRequest_01100601,0x01100601,,5480,,1,,微信设置相关
224,DrawHeroInfoRequest_37000011,0x37000011,,5500,1,1,,请求英雄招募数据
225,DrawHeroRecruitRequest_37000015,0x37000015,,5500,2,,,新神将招募
226,DrawHeroRefreshRequest_37000013,0x37000013,,5500,3,,,新神将招募刷新，花费元宝
"",,,,,,,,
227,GinsengTreeBugRequest_39000005,0x39000005,,5600,,1,,人参果树手动除虫
228,GinsengTreeFertilizationRequest_39000011,0x39000011,,5600,,,,人参果树施肥
229,GinsengTreeHarvestRequest_39000013,0x39000013,,5600,,,,收获人参果树果实
230,GinsengTreeInfoRequest_39000001,0x39000001,,5600,1,,,请求人参果树数据
231,GinsengTreeInsecticidesRequest_39000007,0x39000007,,5600,,,,人参果树购买杀虫剂除虫
232,GinsengTreeWateringRequest_39000003,0x39000003,,5600,,,,人参果树浇水
233,GinsengTreeHangUpRequest_39000015,0x39000015,,5600,,,,领取人参果树挂机奖励
234,GinsengTreeHeroRequest_39000017,0x39000017,,5600,,,,人参果树英雄上阵
307,GinsengTreeEnergyRequest_39000021,0x39000021,,5600,,,,人参果树领取体力果实
235,BattleLineupChooseRequest_13000031,0x13000031,,5700,,,,选择当前使用的阵容
"",,,,,,,,
237,BattleXiangYaoChuMoRequest_13000501,0x13000501,,5800,,1,,请求降妖除魔数据
239,BattleLingShanBuyTimesRequest_13000513,0x13000513,,5810,,1,,请求购买灵山问禅次数
240,BattleLingShanRequest_13000511,0x13000511,,5810,1,,,请求灵山问禅数据
241,BattleLingShanRewardRequest_13000515,0x13000515,,5810,,,,领取灵山问禅层数宝箱奖励
264,BattleLingShanEndRequest_13000519,0x13000519,,,,,,结束灵山问禅
265,BattleLingShanFloorSkipRequest_13000517,0x13000517,,,,,,灵山问禅跳关
"",,,,,,,,
243,EquipDecomposeRequest_09000005,0x09000005,,5900,,1,,装备分解
244,EquipPartStrengthRequest_09000007,0x09000007,,5900,,,,装备部位强化
245,EquipTeardownRequest_09000003,0x09000003,,5900,2,,,装备卸下
246,EquipWearRequest_09000001,0x09000001,,5900,1,,,装备 穿戴 替换
"",,,,,,,,
247,GemComposeRequest_10000007,0x10000007,,6000,4,1,,宝石合成 一键合成
248,GemLockRequest_10000005,0x10000005,,6000,3,,,宝石锁定
249,GemTeardownRequest_10000003,0x10000003,,6000,2,,,宝石卸下
250,GemWearRequest_10000001,0x10000001,,6000,1,,,宝石镶嵌 替换
"",,,,,,,,
251,DefenceLevelUpRequest_25000031,0x25000031,,6010,,1,,防线升级
252,DefenceSkinStarUpRequest_25000033,0x25000033,,6020,,1,,防线皮肤升星
253,DefenceSkinChangeRequest_25000035,0x25000035,,6020,,,,防线皮肤更换
"",,,,,,,,
255,BattleTowerDataRequest_13000521,0x13000521,,6050,1,1,,塔数据请求
256,BattleTowerQuickEndRequest_13100524,0x13100524,,6050,,,,扫荡
257,BattleEquipTowerDataRequest_13000526,0x13000526,,6100,1,1,,装备塔数据请求
258,BattleEquipTowerGetTicketRequest_13000533,0x13000533,,6100,3,,,领取装备塔门票
259,BattleEquipTowerHelpPlayerRequest_13000531,0x13000531,,6100,,,,助战玩家列表点击刷新
260,BattleEquipTowerGetHelpRewardRequest_13000535,0x13000535,,6100,,,,领取助战奖励请求
263,BattleEquipTowerFindHelpRewardRequest_13000537,0x13000537,,6100,,,,查看助战奖励情况请求
291,BattleEquipTowerRecordRequest_13000528,0x13000528,,6100,,,,查看战斗记录上传请求
"",,,,,,,,
271,BattlePVEVPChallengeRequest_13000552,0x13000552,,6150,,1,,大圣擂台挑战数据
272,BattlePVEVPDataRequest_13000549,0x13000549,,6150,1,,,大圣擂台数据请求
273,BattlePVEVPRecordRequest_13000550,0x13000550,,6150,,,,大圣擂台战斗记录数据
275,BattleBuyTicketRequest_13000554,0x13000554,,6150,,,,大圣擂台购买次数数据请求
"",,,,,,,,
292,GuildApplyJoinRequest_40000007,0x40000007,,7000,7,22222,50,申请加入公会
293,GuildBargainBuyRequest_40000062,0x40000062,,7000,17,,,购买公会砍价物品
294,GuildBargainRequest_40000060,0x40000060,,7000,15,,,公会砍价
295,GuildCreateRequest_40000005,0x40000005,,7000,5,,,创建公会
296,GuildDissolveRequest_40000011,0x40000011,,7000,29,,,解散公会
297,GuildDonateRequest_40000067,0x40000067,,7000,19,,,公会捐献
298,GuildFindRequest_40000003,0x40000003,,7000,3,,,查找公会
299,GuildInfoRequest_40000021,0x40000021,,7000,11,,,获取公会信息
300,GuildListRequest_40000001,0x40000001,,7000,1,,50,公会列表
301,GuildLogRequest_40000025,0x40000025,,7000,13,,,公会日志请求
302,GuildMemberAuthRequest_40000041,0x40000041,,7000,21,,,"公会成员权限管理,同意申请，踢人等。"
303,GuildMemberPositionSetRequest_40000015,0x40000015,,7000,23,,,公会职位更改
304,GuildQuickJoinRequest_40000065,0x40000065,,7000,9,,,快速一键加入公会
305,GuildQuitRequest_40000017,0x40000017,,7000,27,,,退出公会
306,GuildSettingRequest_40000013,0x40000013,,7000,25,,,公会设置相关 有值 则替换，没有值 则不修改
310,GuildRankListRequest_40000081,0x40000081,,7000,,,,请求工会排行榜数据
"",,,,,,,,
309,LimitedTimeGiftBuyRequest_15000061,0x15000061,,7100,,1,,购买限时礼包
315,BattleHandCardRequest_13000600,0x13000600,,7150,,1,,使用手操卡
319,GinsengTreeHandCardRequest_39000025,0x39000025,,7150,1,,,保存手操卡
320,HeroIllustrationsMonsterAddRequest_16000046,0x16000046,,7200,1,1,,增加新图鉴怪物
321,HeroIllustrationsMonsterRewardRequest_16000048,0x16000048,,7200,,,,领取怪物图鉴奖励
323,PlayerAssetRecoverRequest_01000210,0x01000210,,7210,,1,,请求定时恢复的资源剩余时间，一般用在客户端从后台切换回来时使用，确保倒计时正确
324,ActivityBaoLiInfoRequest_11000061,0x11000061,,,,,,每日豹利信息请求
325,ActivityDayGiftBuyRequest_11000102,0x11000102,,,,,,购买每日特惠礼包
326,ActivityDayGiftRequest_11000100,0x11000100,,,,,,查看每日特惠礼包数据
327,ActivityFirstChargeBuyRequest_11000010,0x11000010,,,,,,购买首冲礼包，只能购买有售价的礼包。
328,ActivityFirstChargeRequest_11000007,0x11000007,,,,,,查看首冲活动数据
329,ActivityFirstChargeRewardRequest_11000012,0x11000012,,,,,,领取首冲礼包奖励
330,ActivityJQBInfoRequest_11000081,0x11000081,,,,,,金钱豹爆爆信息请求
331,ActivityLeiChongInfoRequest_11000051,0x11000051,,,,,,累充豪礼信息请求
332,ActivityQingShenInfoRequest_11000071,0x11000071,,,,,,风云聚义信息请求
333,ActivitySevenDaysCarnivalRequest_11000020,0x11000020,,,,,,七日狂欢
334,ActivitySevenDaysSigninInfoRequest_11000024,0x11000024,,,,,,"七日签到,查看七日签到数据"
335,ActivityTaskRewardRequest_11000041,0x11000041,,,,,,活动任务奖励领取 请求
336,ActivityWestLuckyBuyRequest_11000095,0x11000095,,,,,,购买转盘道具
337,BattleBuyPvPTimeRequest_13000121,0x13000121,,,,,,购买挑战券 请求
338,BattleDaoHeartRequest_13000055,0x13000055,,,,,,查看道心磨砺 心魔试炼数据
339,BattleDaoHeartSweepBatchRequest_13000062,0x13000062,,,,,,一键扫荡道心磨砺 心魔试炼关卡
340,BattleDaoHeartSweepRequest_13000060,0x13000060,,,,,,扫荡道心磨砺 心魔试炼关卡
341,BattleDaoHeartSweepRequest_13000064,0x13000064,,,,,,查看道心磨砺 心魔试炼通关奖励领取情况
342,BattleDaoHeartSweepRequest_13000066,0x13000066,,,,,,领取道心磨砺 心魔试炼关卡通关奖励
343,BattleDayChallengeReceiveActivePointRequest_13000070,0x13000070,,,,,,领取每日挑战活跃积分奖励
344,BattleLostDayRewardRequest_13000203,0x13000203,,,,,,领取失落真经历史最高关卡奖励
345,BattleLostInfoRequest_13000201,0x13000201,,,,,,请求失落真经数据
346,BattleMountainBuffBagRequest_1300053b,0x1300053b,,,,,,请求buff背包列表
347,BattleMountainDataRequest_13000539,0x13000539,,,,,,巡山数据请求
348,BattleMountainFinishNodeRequest_13000541,0x13000541,,,,,,完成节点请求 用于非战斗节点操作
349,BattleMountainGetRewardRequest_13000543,0x13000543,,,,,,完成进度奖励请求
350,BattleMountainMapResetRequest_13000545,0x13000545,,,,,,重置
351,BattleMountainNextFloorRequest_13000547,0x13000547,,,,,,下一层
352,BattleNightmareRealmBuffUpdateRequest_13000082,0x13000082,,,,,,梦魇秘境更新buff
353,BattleNightmareRealmQuickRequest_13000084,0x13000084,,,,,,梦魇秘境快速战斗
354,BattleNightmareRealmRequest_13000080,0x13000080,,,,,,请求梦魇秘境数据
355,BattlePvPEndRequest_13000115,0x13000115,,,,,,结算战斗请求
356,BattlePvPInfoRequest_13000117,0x13000117,,,,,,获取大道争锋信息 请求
357,BattlePvPStartRequest_13000113,0x13000113,,,,,,开始战斗请求
358,BattlePvPTargetListRequest_13000111,0x13000111,,,,,,目标列表刷新 请求
359,BattleReliveRequest_13000010,0x13000010,,,,,,复活
360,BattleRescueSkillIdRequest_13000057,0x13000057,,,,,,战斗选择强援技能id
361,BattleSpiritualChangeBattleRequest_13000098,0x13000098,,,,,,提升或者降低难度
362,BattleSpiritualGetPointRequest_13000096,0x13000096,,,,,,补满积分。
363,BattleSpiritualGetTimesRequest_13000094,0x13000094,,,,,,看广告获取灵魄之战挑战次数
364,BattleSpiritualInfoRequest_13000090,0x13000090,,,,,,请求灵魄之战数据
365,BattleSpiritualReceiveActivePointRequest_13000092,0x13000092,,,,,,领取灵魄之战活跃积分奖励
366,BattleWorldBossBuyTimesRequest_13000303,0x13000303,,,,,,购买世界boss挑战次数
367,BattleWorldBossInfoRequest_13000301,0x13000301,,,,,,请求世界boss数据
368,BattleWorldRewardRequest_13000305,0x13000305,,,,,,领取世界boss伤害宝箱奖励
369,BuyXianShiLiBaoRequest_15000052,0x15000052,,,,,,购买限时礼包
370,DevelopPotentialBreakRequest_25000003,0x25000003,,,,,,潜力修炼，突破
371,DevelopPotentialLvUpRequest_25000001,0x25000001,,,,,,潜力修炼，升级
372,DevelopRescueLvUpRequest_25000007,0x25000007,,,,,,强援修炼，升级
373,DrawHeroWishRequest_37000005,0x37000005,,,,,,选择心愿红卡
374,DrawListRequest_37000001,0x37000001,,,,,,请求卡池界面数据
375,DrawRequest_37000003,0x37000003,,,,,,请求抽卡
376,FairyFriendFightRequest_27000003,0x27000003,,,,,,仙友 切磋
377,FairyFriendFightRewardRequest_27000005,0x27000005,,,,,,领取仙友切磋奖励
378,FairyFriendGiftRequest_27000001,0x27000001,,,,,,仙友 送礼
379,FairyFriendTravelRequest_27000007,0x27000007,,,,,,仙友寻缘、游历
380,FundPassSignAllRequest_11000303,0x11000303,,,,,,请求所有的购买通行证
381,FundPassSignBuyRequest_11000301,0x11000301,,,,,,购买通行证
382,FundPassSignReceiveRequest_11000305,0x11000305,,,,,,领取通行证
383,GetXianShiLiBaoInfoRequest_15000050,0x15000050,,,,,,获取现时礼包数据
384,GmAccountForbidListRequest_77000003,0x77000003,,,,,,请求封号列表
385,GmAccountForbidRequest_77000005,0x77000005,,,,,,请求封号
386,GmAccountUnblockRequest_77000007,0x77000007,,,,,,请求解封
387,GmMailCheckRequest_77000044,0x77000044,,,,,,审核邮件
388,GmMailDeleteRequest_77000046,0x77000046,,,,,,删除邮件
389,GmMailListRequest_77000042,0x77000042,,,,,,查看邮件列表
390,GmMailPlayerSendRequest_77000040,0x77000040,,,,,,gm给指定玩家发邮件 已废弃
391,GmMailServerSendRequest_77000048,0x77000048,,,,,,gm给指定服务器发邮件
392,GmNoticeAddRequest_77000060,0x77000060,,,,,,增加公告
393,GmNoticeDeleteRequest_77000064,0x77000064,,,,,,删除公告
394,GmNoticeListRequest_77000066,0x77000066,,,,,,查看公告列表
395,GmNoticeUpdateRequest_77000062,0x77000062,,,,,,更新公告
396,GmOperationRequest_77000071,0x77000071,,,,,,请求gm操作记录列表
397,GmOrderReimburseRequest_77000027,0x77000027,,,,,,补单
398,GmOrderRequest_77000025,0x77000025,,,,,,"查询订单,哪个参数有值用哪个查，如果都没有值"
399,GmPlayerDeleteRequest_77000052,0x77000052,,,,,,gm删除某个玩家数据
400,GmPlayerLogoutRequest_77000009,0x77000009,,,,,,请求踢下线
401,GmPlayerRenameRequest_77000050,0x77000050,,,,,,gm改名
402,GmPlayerRequest_77000021,0x77000021,,,,,,查看某玩家数据，优先id，如果id没有通过name查询。
403,GmPlayerTDLevelRequest_77000054,0x77000054,,,,,,gm设置天道修为等级
404,GmServerOpRequest_77000030,0x77000030,,,,,,操作服务器重启等
405,GmServerStatusRequest_77000032,0x77000032,,,,,,改变服务器状态
406,GmShutdownServerRequest_77000001,0x77000001,,,,,,关闭服务器
407,HeroBattleDismissRequest_16000009,0x16000009,,,,,,英雄下阵
408,HeroBattleRequest_16000005,0x16000005,,,,,,英雄上阵
409,HeroBattleUpLevelBatchRequest_16000025,0x16000025,,,,,,批量升级上阵的英雄，按照品质和星级的顺序
410,HeroDisassembleRequest_16000052,0x16000052,,,,,,英雄分解成碎片
411,HeroFreeDayRentChooseRequest_16000032,0x16000032,,,,,,选择某个英雄日租卡。
412,HeroFreeDayRentRequest_16000030,0x16000030,,,,,,请求免费英雄日租卡，这个只有在功能开启的时候请求一下，不能重复请求
413,HeroLevelResetRequest_16000007,0x16000007,,,,,,"英雄等级重置,返还升级材料"
414,HeroQualityResetRequest_16000011,0x16000011,,,,,,英雄品质重置
415,HeroUpLevelBatchRequest_16000023,0x16000023,,,,,,批量英雄升级，能升级哪个升级哪个
416,HeroUpLevelMaxRequest_16000021,0x16000021,,,,,,"英雄一键升级,自动升级到最高级。"
417,ItemSellRequest_0b000007,0x0b000007,,,,,,出售道具
418,NoticeRequest_01000050,0x01000050,,,,,,请求公告数据
419,PetBattleRequest_19000011,0x19000011,,,,,,宠物上阵
420,PetBondsActivateRequest_19000013,0x19000013,,,,,,激活宠物羁绊
421,PetBondsUpLevelRequest_19000015,0x19000015,,,,,,升级宠物羁绊
422,PetBreakUpRequest_19000005,0x19000005,,,,,,宠物突破
423,PetCompositeRequest_19000001,0x19000001,,,,,,碎片合成宠物
424,PetRefineRequest_19000007,0x19000007,,,,,,宠物洗练
425,PetRefineSaveRequest_19000009,0x19000009,,,,,,实际保存上一次刷新出来的技能
426,PetUpLevelRequest_19000003,0x19000003,,,,,,宠物升级
427,PlayerAdBIInfoRequest_01100603,0x01100603,,,,,,广告BI
428,PlayerAssetDataRequest_01000200,0x01000200,,,,,,请求玩家资产，测试使用，一般用来比对前后端资源，检查资源不同步的操作。
429,PlayerCloudBoxRequest_01000042,0x01000042,,,,,,领取小云宝箱奖励
430,PlayerFuncOpenRewardRequest_01000305,0x01000305,,,,,,领取功能开启的奖励
431,PlayerHeartbeatRequest_01000005,0x01000005,,,,,,心跳
432,PlayerLevelUpRequest_01000055,0x01000055,,,,,,手动升级请求
433,PlayerPatrolInfoRequest_01000070,0x01000070,,,,,,请求巡逻数据，一般是在功能刚开启时请求。
434,QianKunMirrorReplaceRequest_25000022,0x25000022,,,,,,替换或者丢弃灵魄
435,QianKunMirrorReversalRequest_25000020,0x25000020,,,,,,乾坤逆转请求
436,QianKunMirrorSpiritualRootUnlockRequest_25000024,0x25000024,,,,,,点亮 解锁 灵根淬炼
437,SecretscriptBreakUpRequest_38000005,0x38000005,,,,,,神通突破，合成新神通也用这个
438,SecretscriptFusionPvPRequest_38000011,0x38000011,,,,,,神通融汇 PVP
439,SecretscriptFusionRequest_38000007,0x38000007,,,,,,神通融汇
440,SecretscriptUpLevelRequest_38000003,0x38000003,,,,,,神通升级
441,ShopBoxOpenRequest_15000040,0x15000040,,,,,,==================================开宝箱===============================
442,buyVipGiftRequest_34000005,0x34000005,,,,,,购买一次性礼包奖励请求
443,getVipInfoRequest_34000001,0x34000001,,,,,,获取VIP 信息 请求
444,rewardFreeVipGiftRequest_34000003,0x34000003,,,,,,领取每日免费奖励请求
